"station","region","state","station_code","first date","height","longitude","latitude"
BANDEIRANTES,CO,MS,S703,"2018-01-29",624.0,-54.368533,-19.945539
IBOTIRAMA,NE,BA,A439,"2008-04-28",430.0,-43.2125,-12.19249999
SALINAS,SE,MG,A552,"2007-09-14",495.0,-42.310266,-16.16027777
BRASNORTE (NOVO MUNDO),CO,MT,A927,"2019-01-01",426.2,-58.23138888,-12.52194443
CAICO,NE,RN,A316,"2007-01-07",171.26,-37.084931,-6.45972222
VALENCA,SE,RJ,A611,"2006-09-27",370.0,-43.69555555,-22.35
PARANAIBA,CO,MS,A710,"2006-11-10",424.0,-51.18138888,-19.69527777
SAO JOSE DOS AUSENTES,S,RS,A829,"2006-10-26",1244.0,-50.057869,-28.748615
BURITIS,SE,MG,A544,"2007-06-19",894.0,-46.435536,-15.52416666
PACAJA,N,PA,A210,"2008-02-27",108.0,-50.63805555,-3.8436111
GUARAMIRANGA,NE,CE,A314,"2007-05-26",865.53,-38.19749999,-4.26111111
SAO LUIS DO PARAITINGA,SE,SP,A740,"2007-11-01",862.3,-45.41694443,-23.22833332
SIDROLANDIA,CO,MS,A754,"2008-09-29",471.43,-54.97194443,-20.98166666
PARANA,N,TO,A010,"2005-03-04",284.96,-47.871917,-12.614893
LUZIANIA,CO,GO,A012,"2006-10-21",1000.82,-47.96638888,-16.26055555
MANICORE,N,AM,A133,"2011-12-12",71.0,-61.28833333,-5.7886111
VENTANIA,S,PR,A872,"2011-04-15",1106.0,-50.21015,-24.23833333
SAO FELIX  DO ARAGUAIA,CO,MT,A921,"2007-10-19",218.0,-50.72777777,-11.61888888
CABACEIRAS,NE,PB,A348,"2008-02-28",436.0,-36.28638888,-7.483206
BRASILIA,CO,DF,A001,"2000-05-07",1160.96,-47.925756,-15.789343
SAO MATEUS,SE,ES,A616,"2006-10-25",39.0,-39.84833333,-18.676198
GUANHAES,SE,MG,A533,"2007-06-02",860.0,-42.942921,-18.78666666
ALMENARA,SE,MG,A508,"2002-12-15",194.0,-40.687756,-16.16666666
SAO MIGUEL ARCANJO,SE,SP,A715,"2006-08-15",678.0,-48.16444444,-23.85138888
PARATI,SE,RJ,A619,"2006-11-19",5.0,-44.72666666,-23.22333332
ITAPOA,S,SC,A851,"2007-06-06",6.18,-48.64166666,-26.0811111
MINEIROS,CO,GO,A026,"2007-11-24",862.0,-52.60111111,-17.45472222
XEREM,SE,RJ,A603,"2002-10-21",33.0,-43.28222221,-22.58972221
CIDADE GAUCHA,S,PR,A869,"2008-03-11",381.0,-52.931912,-23.359156
RIO VERDE,CO,GO,A025,"2007-05-17",782.0,-50.964869,-17.785303
PACARAIMA,N,RR,S114,"2016-12-01",-9999.0,-61.14916666,4.47749999
PASSOS,SE,MG,A516,"2006-07-16",784.0,-46.63388888,-20.74499999
SAO ROMAO,SE,MG,A547,"2007-06-30",490.29,-45.123801,-16.3625
QUIXERAMOBIM,NE,CE,A325,"2007-07-09",232.0,-39.28722221,-5.17305554
BOM JESUS DO PIAUI,NE,PI,A326,"2007-07-17",415.0,-44.31666666,-9.083251
ESPINOSA,SE,MG,A543,"2007-11-14",569.64,-42.808473,-14.91222222
ULIANOPOLIS,N,PA,S111,"2016-12-01",-9999.0,-47.51,-3.8
MANTENA,SE,MG,A540,"2007-08-01",254.91,-40.98583333,-18.78027777
ITAMARAJU,NE,BA,A455,"2016-05-28",110.0,-39.550861,-17.00694444
XANXERE,S,SC,A858,"2008-03-15",889.0,-52.39809,-26.9386111
MINA DO PALITO,N,PA,A246,"2010-09-28",261.0,-55.78722221,-6.31972221
INDAIAL,S,SC,A817,"2006-07-02",86.13,-49.26749999,-26.91361111
PREGUICAS,NE,MA,A218,"2008-11-22",4.62,-42.70722222,-2.592341
MARIANOPOLIS DO TO,N,TO,A041,"2012-11-24",203.0,-49.723333,-9.576389
SALTO DO CEU,CO,MT,A936,"2008-01-24",303.0,-58.115,-15.12472221
MACHADO,SE,MG,A567,"2017-07-21",969.0,-45.944389,-21.680722
JAGUARAO,S,RS,A836,"2007-01-09",47.0,-53.37583332,-32.53472221
ANGICAL DO PIAUI,NE,PI,A377,"2019-11-14",183.0,-42.72749999,-6.08944444
NOVA FRIBURGO - SALINAS,SE,RJ,A624,"2019-01-01",1070.0,-42.67694443,-22.33472221
MARAMBAIA,SE,RJ,A602,"2002-11-08",9.7,-43.6,-23.05
BAGE,S,RS,A827,"2007-01-04",230.0,-54.013292,-31.34777777
SOBRAL,NE,CE,A306,"2003-02-12",109.62,-40.34555555,-3.73166666
MORRINHOS,CO,GO,A003,"2001-05-25",771.42,-49.1,-17.71666667
BARRETOS,SE,SP,A748,"2010-06-19",534.36,-48.54472221,-20.55888888
ARRAIAL DO CABO,SE,RJ,A606,"2006-09-24",5.0,-42.01666666,-22.97527777
NOVO REPARTIMENTO,N,PA,A235,"2008-07-23",106.0,-49.939308,-4.23444444
VITORIA DA CONQUISTA,NE,BA,A414,"2007-06-01",879.38,-40.80133,-14.8861111
PARINTINS,N,AM,A123,"2008-04-11",52.0,-56.75472222,-2.639152
CRMN MANAUS,N,AM,S103,"2016-12-01",-9999.0,-60.05555555,-3.02249999
SAO RAIMUNDO NONATO,NE,PI,A345,"2008-02-27",402.0,-42.70055555,-9.03305554
MARAU,NE,BA,A438,"2008-06-22",10.0,-38.97222,-13.90694
RIO PARDO DE MINAS,SE,MG,A551,"2007-11-17",950.0,-42.43527777,-15.72277777
COMODORO,CO,MT,A913,"2006-11-28",591.0,-59.7625,-13.70805555
SANTA RITA DO PARDO,CO,MS,S716,"2018-02-19",383.0,-52.82027777,-21.30583333
RIO GRANDE,S,RS,A802,"2001-11-16",4.92,-52.1,-32.03333333
COXIM,CO,MS,A720,"2006-11-06",252.0,-54.73583333,-18.51222222
SAO JOAO DO PIAUI,NE,PI,A331,"2007-08-26",235.0,-42.25083333,-8.36444444
PIATA,NE,BA,A430,"2008-05-03",1290.0,-41.774125,-13.155681
OURICURI,NE,PE,A366,"2010-08-11",464.0,-40.10111111,-7.88472221
BOA VISTA,N,RR,A135,"2010-08-26",94.0,-60.690821,2.81694443
PRESIDENTE PRUDENTE,SE,SP,A707,"2003-02-04",435.55,-51.4,-22.119867
ITAPIPOCA,NE,CE,A359,"2008-09-05",104.49,-39.58833333,-3.48388888
RIO DE JANEIRO - VILA MILITAR,SE,RJ,A621,"2019-01-01",30.43,-43.41138888,-22.86138888
JANUARIA,SE,MG,A559,"2016-06-23",480.0,-44.366313,-15.44805555
BARRA DO TURVO,SE,SP,A746,"2008-07-03",667.0,-48.41638888,-24.96277777
MARIA DA FE,SE,MG,A531,"2006-12-01",1281.43,-45.37277777,-22.31444444
