"station","region","state","station_code","first date","height","longitude","latitude"
ESPERANTINA,NE,PI,A338,"2007-12-03",65.0,-42.23694444,-3.90083333
SAO PAULO - MIRANTE,SE,SP,A701,"2006-07-25",792.06,-46.61666666,-23.48333333
CHAPADAO DO SUL,CO,MS,A730,"2006-12-20",820.82,-52.6025,-18.802187
AGUA CLARA,CO,MS,A756,"2010-08-14",338.0,-52.87555554,-20.44444
ITIRUCU,NE,BA,A407,"2003-02-09",757.42,-40.11972221,-13.527828
ARACAJU,NE,SE,A409,"2003-02-12",4.72,-37.05,-10.95027777
MAJOR VIEIRA,S,SC,A864,"2009-02-09",808.0,-50.363211,-26.3936111
SANTA ISABEL DO RIO NEGRO,N,AM,S121,"2016-12-01",-9999.0,-65.01749999,-0.41444444
SERAFINA CORREA,S,RS,A894,"2016-04-01",545.0,-51.87055554,-28.70472222
FORMIGA,SE,MG,A524,"2006-08-17",878.14,-45.453825,-20.45472222
SAO JOSE DO XINGU,CO,MT,A942,"2019-02-19",300.0,-52.37249999,-10.48416666
CAMPINA DA LAGOA,S,PR,B803,"2016-08-04",598.0,-52.800256,-24.57083332
ITAPETINGA,NE,BA,A446,"2009-06-25",271.48,-40.22944443,-15.24462
PEIXE,N,TO,A018,"2006-12-01",250.87,-48.544517,-12.015377
HUMAITA,N,AM,A112,"2008-04-25",72.0,-63.071343,-7.55252
TERESOPOLIS-PARQUE NACIONAL,SE,RJ,A618,"2019-01-01",981.0,-42.98694444,-22.4486111
JOAQUIM TAVORA,S,PR,A821,"2006-11-23",522.0,-49.946387,-23.505266
SANTA TERESA,SE,ES,A613,"2007-08-09",988.0,-40.57944443,-19.98833333
SORRISO,CO,MT,A904,"2002-12-16",380.0,-55.71666666,-12.55
POSSE,CO,GO,A017,"2007-04-18",834.0,-46.36638888,-14.08916666
ICARAIMA,S,PR,A824,"2006-11-16",385.0,-53.63472221,-23.39027777
ECOPORANGA,SE,ES,A631,"2017-03-17",224.0,-40.73638888,-18.29138888
ILHEUS,NE,BA,A410,"2003-01-25",80.21,-39.1811111,-14.658803
ARAGUACU,N,TO,A054,"2015-08-19",231.0,-49.5286111,-12.592213
UBERABA,SE,MG,A568,"2017-05-19",778.0,-47.96166666,-19.71
BURITICUPU,NE,MA,A238,"2008-09-11",175.0,-46.449503,-4.32055554
AUTAZES,N,AM,A120,"2008-04-17",78.0,-59.12944,-2.05638888
RIO DO CAMPO,S,SC,A861,"2008-03-10",592.0,-50.145445,-26.93749999
RIO BRILHANTE,CO,MS,A743,"2008-06-26",329.0,-54.52805554,-21.77472221
IGUAPE,SE,SP,A712,"2006-07-20",2.7,-47.545896,-24.671654
RIO DE JANEIRO-MARAMBAIA,SE,RJ,A602,"2019-01-01",12.0,-43.59555555,-23.05027777
SANTA CRUZ,NE,RN,A367,"2010-08-17",237.0,-36.02638888,-6.22777777
PAULISTANA,NE,PI,A330,"2007-08-31",376.0,-41.07999999,-8.07999999
GOIAS,CO,GO,A014,"2007-07-18",512.86,-50.14138888,-15.93916666
CRISTALINA,CO,GO,A036,"2007-12-14",1211.08,-47.61166666,-16.784896
SERRINHA,NE,BA,A441,"2008-05-09",339.0,-39.022946,-11.66444444
GAUCHA DO NORTE,CO,MT,A930,"2008-06-04",379.0,-53.257366,-13.18472221
CORRENTINA,NE,BA,A416,"2007-11-09",551.71,-44.61722221,-13.33222221
BATAGUASSU,CO,MS,A759,"2013-03-21",392.13,-52.47055554,-21.750123
TOME ACU,N,PA,A213,"2007-10-14",42.95,-48.36055555,-2.59249999
PONTES E LACERDA,CO,MT,A937,"2008-01-30",272.53,-59.346215,-15.234582
CRUZ DAS ALMAS,NE,BA,A406,"2003-01-19",225.87,-39.08944444,-12.65
JEREMOABO,NE,BA,A450,"2015-08-13",261.0,-38.34583333,-10.08083332
FREDERICO WESTPHALEN,S,RS,A854,"2007-12-14",490.0,-53.41277777,-27.39555555
FOZ DO IGUACU,S,PR,A846,"2008-02-15",242.0,-54.48305554,-25.601834
MARACAJU,CO,MS,A731,"2006-12-15",400.0,-55.177531,-21.609036
PICO DO COUTO,SE,RJ,A610,"2006-10-22",1777.0,-43.29138888,-22.46472222
CAPELINHA,SE,MG,A541,"2007-08-31",948.0,-42.38916666,-17.70527777
FLORIANOPOLIS,S,SC,A806,"2003-01-22",4.87,-48.61999999,-27.6025
PIRACICABA,SE,SP,A726,"2006-09-26",573.0,-47.62305554,-22.70277777
BEBDOURO,SE,SP,A764,"2016-10-27",790.0,-48.48972221,-20.94916666
CRIOSFERA,SE,SP,C891,"2020-01-01",1285.0,-79.49416666,-84.0
CAMBUCI,SE,RJ,A604,"2002-11-20",46.0,-41.95,-21.56666666
PORTO ESTRELA,CO,MT,A935,"2008-05-30",147.75,-57.22583332,-15.32472221
PARAGOMINAS,N,PA,A212,"2007-10-18",113.0,-47.34305555,-2.99027777
GRAJAU,NE,MA,A207,"2008-09-10",232.29,-46.15944444,-5.816085
Santa Vitoria do Palmar - Barra do Chui,S,RS,A899,"2008-03-08",26.0,-53.37138888,-33.74166666
LAGUNA CARAPA,CO,MS,S711,"2018-04-12",499.0,-55.16027777,-22.57527777
CANTO DO BURITI,NE,PI,A365,"2010-06-12",312.07,-42.00888888,-8.11777777
CANGUCU,S,RS,A811,"2007-01-24",462.0,-52.700699,-31.403299
COARI,N,AM,A117,"2008-04-12",53.0,-63.14527777,-4.097483
APODI,NE,RN,A340,"2007-11-14",150.0,-37.814991,-5.62638888
BARUERI,SE,SP,A755,"2011-03-29",791.0,-46.86916666,-23.52333332
PEF IPIRANGA,N,AM,S102,"2016-12-01",-9999.0,-69.69527777,-2.93055554
NOVA FATIMA,S,PR,A842,"2007-02-08",668.0,-50.577744,-23.40694444
DOM PEDRITO,S,RS,A881,"2010-04-23",150.0,-54.61805554,-31.0025
SAO PEDRO DO PIAUI,NE,PI,A362,"2009-05-20",287.0,-42.7186111,-5.91111111
CUIABA,CO,MT,A901,"2002-12-08",241.56,-56.062951,-15.55916666
CARACOL,NE,PI,A337,"2007-11-10",523.0,-43.32444443,-9.28583333
CAMPO GRANDE,CO,MS,A702,"2001-09-10",530.0,-54.6,-20.447195
PRES. KENNEDY,SE,ES,A622,"2008-06-18",80.0,-41.03888888,-21.100805
FLORESTAL,SE,MG,A535,"2008-06-27",753.5,-44.416883,-19.88527778
ANGRA DOS REIS,SE,RJ,A628,"2017-08-25",6.0,-44.30333333,-22.975694
CANELA,S,RS,A879,"2008-08-23",830.93,-50.82722221,-29.36888888
IMPERATRIZ,NE,MA,A225,"2008-03-01",126.0,-47.45972222,-5.55555555
ENCRUZILHADA DO SUL,S,RS,A893,"2018-03-15",427.75,-52.52472221,-30.54305555
MACAPA,N,AP,A249,"2013-12-12",27.0,-51.0886111,0.03527777
VACARIA,S,RS,A880,"2008-04-26",986.0,-50.882738,-28.513602
MONTE VERDE,SE,MG,A509,"2004-12-19",1544.89,-46.04333333,-22.86138888
SAO MATEUS DO SUL,S,PR,A874,"2011-04-17",788.0,-50.3686111,-25.83499999
CHAPADINHA,NE,MA,A206,"2008-09-17",104.0,-43.35194444,-3.742674
GOIANIA,CO,GO,A002,"2001-05-29",770.0,-49.21999999,-16.64277777
BRASILANDIA,CO,MS,S705,"2018-04-06",345.0,-52.06888888,-21.298278
ABROLHOS,NE,BA,A422,"2008-07-21",25.0,-38.6961111,-17.963016
CAMPINA GRANDE,NE,PB,A313,"2006-12-22",547.56,-35.88888888,-7.225574
NATAL,NE,RN,A304,"2003-02-24",48.6,-35.2,-5.83722221
BRAGANCA PAULISTA,SE,SP,A744,"2017-12-20",891.0,-46.530472,-22.951944
RANCHO QUEIMADO,S,SC,A870,"2016-05-31",881.0,-49.04194444,-27.678507
PORTO SEGURO,NE,BA,A427,"2008-07-10",86.36,-39.182389,-16.388977
UAUA,NE,BA,A435,"2008-05-20",453.0,-39.49555555,-9.8336111
SURUBIM,NE,PE,A328,"2008-03-09",421.44,-35.7961111,-7.83694444
GAMA (PONTE ALTA),CO,DF,A046,"2014-10-01",990.0,-48.13749999,-15.93527777
QUIXADA,NE,CE,A369,"2018-03-20",193.0,-39.057183,-4.978783
AGUAS EMENDADAS,CO,DF,A045,"2008-10-03",1200.0,-47.625801,-15.59638888
VILA BELA DA SANTISSIMA TRINDADE,CO,MT,A922,"2006-12-01",222.0,-59.87277777,-15.062696
ALVORADA DO GURGUEIA,NE,PI,A336,"2007-11-17",270.0,-43.86472222,-8.44166666
CRUZEIRO DO SUL,N,AC,A108,"2015-05-14",220.0,-72.405,-7.61055555
IPORA,CO,GO,A028,"2013-06-24",625.0,-51.14805555,-16.42305554
DIVINOPOLIS,SE,MG,A564,"2017-10-26",796.0,-44.87472221,-20.17305554
EPITACIOLANDIA,N,AC,A140,"2009-09-25",224.5,-68.73499999,-11.0236111
TRES MARIAS,SE,MG,A528,"2006-08-25",931.01,-45.45972222,-18.20055555
CARAVELAS,NE,BA,A405,"2002-12-20",6.05,-39.25861111,-17.73333333
CAMPO MAIOR,NE,PI,A376,"2018-11-23",125.0,-42.14555555,-4.86416666
TURIACU,NE,MA,A219,"2008-06-10",41.0,-45.372571,-1.661224
OURINHOS,SE,SP,A716,"2006-08-29",448.0,-49.89416666,-22.9486111
NOVA UBIRATA,CO,MT,A929,"2008-04-13",518.0,-54.75222222,-13.41111111
PASSO FUNDO,S,RS,A839,"2006-11-27",684.05,-52.403582,-28.226805
CONCEICAO DAS ALAGOAS,SE,MG,A520,"2006-07-18",572.54,-48.15138888,-19.98583333
ITAOBIM,SE,MG,A550,"2007-09-05",271.63,-41.48527777,-16.57555554
CASSILANDIA,CO,MS,A742,"2008-03-08",516.0,-51.720732,-19.122471
BARCELOS,N,AM,A128,"2008-04-19",42.0,-62.92416666,-0.95861111
SAO FELIX DO XINGU,N,PA,A216,"2016-11-15",211.0,-51.95694444,-6.639622
LINS,SE,SP,A727,"2006-09-20",460.65,-49.73416666,-21.66527777
ALTO PARNAIBA,NE,MA,A223,"2008-06-03",283.69,-45.93194443,-9.10805555
IPANGUACU,NE,RN,A372,"2017-11-08",19.0,-36.87222221,-5.534867
EB_PEF_BONFIM,SE,MG,S122,"2016-12-01",-9999.0,-59.82388888,3.35888888
BAMBUI,SE,MG,A565,"2016-11-23",697.0,-46.00861111,-20.0311111
TUCUMA,N,PA,A234,"2008-07-18",320.93,-51.141899,-6.743208
TERESOPOLIS,SE,RJ,A618,"2006-11-01",980.0,-42.98722221,-22.44888888
SOROCABA,SE,SP,A713,"2006-08-22",609.33,-47.585552,-23.35
BOM JESUS DA LAPA,NE,BA,A418,"2007-05-18",447.75,-43.18416666,-13.251094
IPIAU,NE,BA,A445,"2009-06-30",132.11,-39.69249999,-14.171304
ITABAIANA,NE,SE,A451,"2017-04-24",213.0,-37.47138888,-10.67166666
